Model,Gender,Description,Price,Benefits,Photo
Nike College Showout (USC),Men, This Michigan State full zip short sleeve hoodie is amazing.,$82.97 ,The Nike College Showout (USC) Hoodie gets you ready for game day with ample coverage in a short-sleeve profile. Zippered pockets let you keep your hands warm or store small items when you're on the move.,https://i.imgur.com/J4GbohV.jpg
Men's Dri-FIT Running Crew Top,Men,"Soft and smooth fabric lets you move freely. It has Nike Dri-FIT technology to move sweat away from your skin for quicker evaporation, helping you stay dry and comfortable.",$51.97 ,"The Nike Element Crew Top gives you soft, smooth coverage that can be worn on its own or as an extra layer. Thumbholes help cover your hands in cool weather. Even better, it's made with at least 75% recycled polyester fibers.",https://i.imgur.com/sPz9TlF.jpg
Nike Therma-FIT Pullover Hoodie,Men,Warm and comfortable hoodie with Therma-FIT technology.,$90.00 ,Retains heat during cold weather while wicking moisture away.,https://i.imgur.com/9XqBNLY.jpg
Nike Sportswear Tech Fleece Hoodie,Men,Sleek and functional training shorts that feature sweat-wicking Dri-FIT technology for intense workouts.,$37 ,Stretchy and flexible fabric allows a full range of motion while keeping you dry and focused.,https://i.imgur.com/3cNTVqP.jpg
Nike Pro Dri-FIT Shorts,Men,Relaxed fit fleece shorts that combine comfort and style for everyday wear.,$68 ,Ultra-soft brushed fleece for all-day comfort. Features an elastic waistband with an adjustable drawcord for a personalized fit.,https://i.imgur.com/PAIJvCr.jpg
Nike Club Fleece Jogger Shorts,Men,"Premium ribbed shorts designed for yoga, pilates, or lounging. Crafted with Nike’s luxurious, flexible fabric.",$90 ,Ultra-soft material hugs the body for a supportive feel while maintaining breathability. Perfect for low-impact activities or casual wear.,https://i.imgur.com/iq7Jv82.jpg
Nike Therma-FIT Repel Jacket,Women,"A water-repellent, insulated jacket that combines lightweight coverage with stylish design.",$75 ,Perfect for outdoor activities in cold and wet conditions. Features adjustable hood and zippered pockets for extra storage and weather protection.,https://i.imgur.com/xzWk9JB.jpg
Nike Sportswear Windrunner Jacket,Women,"A stylish update to Nike’s classic Windrunner design, perfect for running or casual wear.",$79 ,"Lightweight, breathable fabric protects against wind and light rain. Ventilation panels enhance air circulation, keeping you comfortable during movement.",https://i.imgur.com/8OF2yxX.jpg
Nike Dri-FIT ADV Hooded Running Jacket,Women,High-performance running jacket engineered with advanced sweat-wicking fabric for intense workouts.,$88 ,Keeps you dry and comfortable while running in unpredictable weather. Features an adjustable hood and reflective elements for visibility.,https://i.imgur.com/dP8rAra.jpg
Nike Flex Essential Training Shorts,Women,Versatile training shorts designed for high-intensity workouts or outdoor activities.,$60 ,"Made with breathable and flexible fabric, allowing unrestricted movement. Features an elastic waistband for a snug yet comfortable fit.",https://i.imgur.com/2yRqpll.jpg
Nike Sportswear Tech Fleece Jacket,Women,Modern fleece jacket with streamlined construction for warmth and versatility.,$79 ,Provides lightweight insulation while maintaining a clean and stylish look. Features multiple zippered pockets for functionality and convenience.,https://i.imgur.com/KWEzfuI.jpg
Nike Club Fleece Pullover Hoodie,Women,"A classic pullover hoodie made from soft brushed fleece, perfect for casual wear or light workouts.",$92 ,Features a kangaroo pocket for storage and ribbed cuffs for a snug fit. Keeps you warm and comfortable all day long.,https://i.imgur.com/4GeSMsF.jpg
Nike AeroLayer Running Jacket,Women,Lightweight running jacket with water-resistant fabric and insulation for colder weather.,$45 ,Designed for breathability while maintaining warmth. Reflective elements improve visibility in low-light conditions.,https://i.imgur.com/4KJPvJY.jpg
Nike Victory Training Shorts,Women,Performance-focused training shorts with a smooth and supportive fit. Ideal for gym sessions or outdoor runs.,$67 ,"Made with sweat-wicking fabric to keep you dry and comfortable. Flat seams reduce chafing, ensuring a distraction-free workout.",https://i.imgur.com/SYH4ZjN.jpg
Nike Therma-FIT Victory Full-Zip Hoodie,Women,A full-zip hoodie designed for layering in cold weather.,$24 ,"Therma-FIT fabric retains heat, while the full-zip design allows for easy on and off. Features side pockets for added convenience.",https://i.imgur.com/92aXYZO.jpg
Nike Sportswear Essential Oversized Hoodie,Women,Oversized hoodie with a relaxed fit and soft fleece construction.,$26 ,"Provides a cozy, laid-back look perfect for lounging or layering. Made with durable materials for long-lasting comfort.",https://i.imgur.com/VJZHrNq.jpg
Nike Heritage Woven Jacke,Men,"A stylish woven jacket inspired by classic Nike designs, ideal for everyday wear.",$48 ,"Lightweight fabric offers comfort without added bulk. Features elastic cuffs and hem for a secure fit, along with zippered pockets for secure storage.",https://i.imgur.com/dgnicnJ.jpg